species,reason
tiger,They are majestic and gracefull. I just cant imagine life without these animals.
otherreptile,I have no specific reason.
husky,Spirit guides from the past.
wolf,"Yes, I have a soul of a wolf"
otherdog,"I felt that it was necessary to choose something, so I can take part in the community."
raven,no
domesticcat,I have a close affinity for cats and find I relate to them through my personality and habits.
husky,"The loyalty of the dog and its close appearance being shared with a wolf made it a natural choice for my interest. It also came to me in a dream where in upon looking into a lake, the reflection shown was that of a Husky."
hyaena,"I suppose you could say a female hyena is the most unfemenine you can get while still being technically female, which describes me pretty well. I also gravitate more to thing that would be considered grungy or ugly. I just like them. "
redfox,Favoured Animal
wolf,"It matches pretty closely to my personality, and is my second favorite animal."
riverotter,feesh
otherfeline,"I specifically am an ocelot. I identify with a feline because I love tuna and milk, and can see in the dark. I also curl into a ball when sleeping, can move my tailbone, and when saying words that start with a ""y"" sound (like yes) I tend to put an n before it. I can also perfectly imitate a meow. I identify with an ocelot specifically because, other than liking them, they are spotted, and I have a skin disease that causes me to be spotted as well."
otherfeline,I've always had a fondness for cats and am a rabid fan of the Disney Gargoyles and hence my fursona is a Gargoyle Cat. 
domesticcat,"I've always been charmed by felines, and enjoyed the idea of being a domestic, pet cat."
coyote,"Outgoing, scruffy, clever? Something like that."
wolf,"Wolves tend to be free and of a pack, but also tend to strike out on their own I feel like I relate to this animal the most, I don't wanna go into further detail cause I'm pretty lazy right now but I'm also partially related to a horse for being a free spirit~ :3"
dragon,Always loved dragons
dragon,Inthe many hours of meditation i have found my true fursona of my own self reflection
kitsune,That's my kintype
jackal,Not really.
kangaroo,I simply like the animal and their appearance.and attributes
dragon,Not much to say.. but no
wolf,They fit my personality and characteristics. 
dragon,Not really.
snowleopard,"I love cats in general. Snow leopards are shy and intelligent, which I am too. Plus they're beautiful."
otherdog,"I'm a dog handler, so they have always been very close in my heart. My fursona is a Russo-European Laika."
otherdog,"Yes, it reflects my appearance and personality."
wolf,I relate to it well and feel connected to it spiritually.
rabbit,"Rabbit - I like long ears, I guess. I also generally tend to portray myself as rather weak or helpless. "
wolf,I like wolves
snowleopard,Those are my favorite animals
germanshepherd,The personality. They are loyal and friendly.
rat,"I owned rats for several years.  I like them because they are extremely sweet and intelligent, if a little shy.  They also have a bit of a belly, which I relate to.  And they have a kind of anti-authority air to them, an aura of rebellion.  I like that.  "
tiger,I chose tiger because its not shy and fearless like i want to be which is why i also chosen the wolf and dragon
wolf,I feel like it suits me.
othercanine,"Just kinda awesome, I guess"
griffin,It just feels right.
polarbear,"I'm a fairly big guy, and I love the cold and snow. "
greyfox,The usual archetype of the fox as a cunning scheming survivalist was appealing. And for a while there was even a den in my back yard. After watching them play and run around my back yard I can tell I made the right choice.
redfox,"Not particularly, she was an early OC of mine and I just adopted her as my fursona after a while. "
dragon,Some people see dragons as an all knowing being. I am pretty smart and i can predict correctly everything that will happen 10 seconds ahead of time. Others see them as solitary destructive princess kidnappers. I seem to be a mish-mash of both. ( Except for the kidnapping part). So basically identify with it because I know a lot about many things and I am solitary and very destructive.
hyaena,They have always been my favorite animal sense the lion king came out. Plus they laugh a lot just like myself in real life.
husky,"Always loved dogs, huskies in particular.  They're beautiful animals."
othercanine,"No, i just think it fits her (fursona's) personality. 
I have others but the canine/other is my main.
She does not however completely represents me."
