Species,Reason,Character status
hyaena,It felt right,Primary character
other,"Not totally sure, its just the animal that I most closely identify with",Primary character
tiger,Because I feel like I have more of a tigers personality that anything else ,Primary character
dragon,I have always been fascinated by dragons in popular fiction,Primary character
tiger,Personal affinity,Primary character
dragon,I feel spiritually and physically most naturally bonded with this species (dragons).,Primary character
dinosaur,Inspiration from my biology teacher for doodling a weirdly-shaped dinosaur as an example.,Deprecated character
wolf,"For a long time now, I'm fond of wolves and once wondered how it would feel like to be one.",Primary character
dragon,It was exactly what I wished I was.,Primary character
other,"The Overall design of the species struck me perfectly, as well as displaying genderfluidity in specific design",Primary character
wolf,I like wolf's and my pensonialty matches that of a wolf.,Primary character
wolf,Its a wolf nought said,Primary character
"wolf, redfox",I think foxes look amazing and I find the traits/personality of a wolf interesting...and cool...,Primary character
skunk,It fit my presumptions of my characteristics at the time.  And my hair was black with white stripes.  It's still part of me.,Secondary Character
otherfox,"It was originally a small-part character in a comic I contributed to... after several years I developed it, and it became me.",Primary character
"wolf, husky",These species are just the ones that called out to me. It also helps that as a person; I'm half white and half Asian. ,Primary character
otherdog,"I absolutely love canines, after loosing my friend I created my current fursona based on him, probably not very healthy but oh well.",Primary character
rat,Was a pet when I was a kid. The name and physical appearance are identical to the original animal as well.,Primary character
deer,"Deer are cute, and nice to draw.",Primary character
"dragon, other",it was just something i thought was interesting and fits mi personality,Primary character
husky,relateable to me as a person.,Primary character
wolf,I feel like I relate to this species,Primary character
wolf,"I am very fond of Canines to the point were I mimic there behaviour.
I chose to be a brown wolf because I like the lone wolf way of life and I consider my friends to be my pack.",Primary character
fennec,"I have traits of the stereotype of fox furries created by the furry community, and I like fennec foxes more than other types of foxes.",Primary character
"othercanine, other",I just wanted to make a fun character,Secondary Character
husky,"I was always fascinated with wolves, but I love dogs more. So I made Astre (My fuesona's name) because he was a mix between the two. He was also based off a childhood toy.",Primary character
wolf,dunno lol,Primary character
riverotter,Cute and I relate ,Primary character
wolf,I feel a strong relationship to the Japanese wolf ,Primary character
squirrel,I wanted a different character from my primary to express a different sexuality. ,Secondary Character
othermustelid,I have been told that I act and look like this animal by friends and others.,Primary character
"othermusteloid, other","I became a fan of meerkats because of The Lion King in '95,. After the family got their first computer in April 2001, i went sniffing around for Timon-related fansites and came across Kimya's Nursery. Then i eventually was led to EZBoard-related furry forums and likewise chatrooms. ",Primary character
coyote,I can relate to it,Primary character
"wolf, redfox, snowleopard",I chose these species because I believe these species represent me the most.,Primary character
"arcticfox, fennec, other",I like the Mythological representation of foxes. I love to help others but when i get mad people get hurt. ,Primary character
wolf,Cuz wolf's are awesome!,Primary character
horse,I am a horse.,Primary character
,I feel a stong connection with this animal. ,Primary character
wolf,I feel more or less linked to wolves and love them!,Primary character
tiger,It's what I feel like,Primary character
wolf,Loved wolves since a young age ,Primary character
"redfox, husky",kek,Primary character
"domesticcat, riverotter, seaotter","Cat- expresses a feminine side of myself
Otter- expresses my love for water and seafood",Primary character
snowleopard,I like it's aesthetic and it has traits that reflect my own,Primary character
